時間戳記,餐廳名稱,地區,時間,類型,電話 ,地址,星級,星期一開嗎?,星期一的營業時間,星期二開嗎?,星期二的營業時間,星期三開嗎?,星期三的營業時間,星期四開嗎?,星期四的營業時間,星期五開嗎?,星期五的營業時間,星期六開嗎?,星期六的營業時間,星期日開嗎?,星期日的營業時間,低銷,訂位
12/19/2020 15:56:17,喜禾嘉料理家,公館地區,"中餐, 晚餐, 宵夜",中式,02-2369-8811,台北市中正區汀州路三段233號 ,3.5,是,11:15~22:00,是,11:15~22:00,否,,否,,是,11:15~22:00,是,11:15~22:00,是,11:15~22:00,無,無
12/19/2020 16:00:57,金雞園,公館地區,"中餐, 晚餐, 宵夜",中式,02-2368-0698,台北市中正區羅斯福路三段316巷8弄3之1號,3.7,是,10:00~20:00,是,10:00~20:00,是,10:00~20:00,是,10:00~20:00,是,10:00~20:00,是,10:00~20:00,是,10:00~20:00,無,有
12/19/2020 16:16:17,紅盤子港式茶餐廳,溫州街,"中餐, 晚餐",中式,02-3365-2588,台北市中正區羅斯福路三段244號9弄1號,4.1,是,"11:30~14:30, 17:30~20:30",是,"11:30~14:30, 17:30~20:30",是,"11:30~14:30, 17:30~20:30",否,,是,"11:30~14:30, 17:30~20:30",是,"11:30~14:30, 17:30~20:30",是,"11:30~14:30, 17:30~20:30",無,有
12/19/2020 16:18:52,合益佳雞肉飯,118巷,"中餐, 晚餐",中式,02-2738-4881,台北市大安區和平東路二段118巷54弄7號,4.1,是,"11:00~14:00, 16:00~20:50",是,"11:00~14:00, 16:00~20:50",是,"11:00~14:00, 16:00~20:50",是,"11:00~14:00, 16:00~20:50",是,"11:00~14:00, 16:00~20:50",否,,否,,無,無
12/19/2020 16:23:42,鑫吉野烤肉飯,公館地區,"中餐, 晚餐",燒烤,02-2368-8522,台北市中正區羅斯福路3段286巷4弄8號,4.1,是,"09:00~14:00, 16:30~20:00",是,"09:00~14:00, 16:30~20:00",是,"09:00~14:00, 16:30~20:00",是,"09:00~14:00, 16:30~20:00",是,"09:00~14:00, 16:30~20:00",是,"10:00~14:00, 16:30~20:00",否,,無,無
12/19/2020 16:26:08,大水元,公館地區,"中餐, 晚餐",中式,0978-512-566 ,台北市大安區羅斯福路四段92號1樓(水源市場25號攤位),4,否,,是,10:30~19:00,是,10:30~19:00,是,10:30~19:00,是,10:30~19:00,是,10:30~19:00,否,,無,無
12/19/2020 16:29:21,蠶居,公館地區,"中餐, 晚餐",中式,02-2363-2883,台北市大安區羅斯福路三段283巷7弄2號,4.1,是,10:30~21:00,是,10:30~21:00,是,10:30~21:00,是,10:30~21:00,是,10:30~21:00,是,10:30~21:00,是,10:30~21:00,無,無
12/19/2020 16:32:35,豪香熱炒,公館地區,"中餐, 晚餐",中式,02-2362-5977,台北市大安區羅斯福路三段333巷7號,3.8,是,"11:00~15:00, 17:00~21:30",是,"11:00~15:00, 17:00~21:30",是,"11:00~15:00, 17:00~21:30",是,"11:00~15:00, 17:00~21:30",是,"11:00~15:00, 17:00~21:30",是,"11:00~15:00, 17:00~21:30",是,"11:00~15:00, 17:00~21:30",無,有
12/19/2020 16:35:43,蒙娜家廚,溫州街,"中餐, 晚餐",中式,0952-051-353,台北市大安區溫州街74巷14號1樓,4.3,是,12:00~21:00,是,12:00~21:00,是,12:00~21:00,是,12:00~21:00,是,12:00~21:00,是,12:00~21:00,是,12:00~21:00,無,無
12/19/2020 16:38:48,七里亭茶食館,118巷,"中餐, 晚餐",中式,02-2701-7727,台北市大安區瑞安街136號電話,4.2,否,,是,"11:00~15:00, 17:00~21:00",是,"11:00~15:00, 17:00~21:00",是,"11:00~15:00, 17:00~21:00",是,"11:00~15:00, 17:00~21:00",是,"11:00~15:00, 17:00~21:00",是,"11:00~15:00, 17:00~21:00",無,有
12/19/2020 16:43:58,七里亭,溫州街,"中餐, 晚餐",中式,02-2391-6792,台北市大安區復興南路二段358號,3.9,是,"11:00~15:30, 17:00~21:30",是,"11:00~15:30, 17:00~21:30",是,"11:00~15:30, 17:00~21:30",是,"11:00~15:30, 17:00~21:30",是,"11:00~15:30, 17:00~21:30",是,"11:00~15:30, 17:00~21:30",是,"11:00~15:30, 17:00~21:30",無,有
12/19/2020 16:47:13,柒食貳,溫州街,"中餐, 晚餐",中式,02-3365-3206,台北市大安區溫州街72號,4.1,是,"11:00~15:15, 17:00~22:00",是,"11:00~15:15, 17:00~22:00",是,"11:00~15:15, 17:00~22:00",是,"11:00~15:15, 17:00~22:00",是,"11:00~15:15, 17:00~22:00",是,"11:00~15:15, 17:00~21:00",是,"11:00~15:15, 17:00~21:30",無,有
12/19/2020 16:51:02,小飯廳,公館地區,"中餐, 晚餐",中式,02-2363-7060,台北市大安區羅斯福路三段333巷6號,3.8,是,"11:30~15:00, 17:00~21:00",是,"11:30~15:00, 17:00~21:00",是,"11:30~15:00, 17:00~21:00",是,"11:30~15:00, 17:00~21:00",是,"11:30~15:00, 17:00~21:00",是,"11:30~15:00, 17:00~21:00",是,"11:30~15:00, 17:00~21:00",無,無
12/19/2020 16:53:30,阿英滷肉飯,溫州街,"中餐, 晚餐",中式,02-2368-9927,台北市台北市溫州街74巷5弄1號,3.6,是,"11:30~13:30, 17:30~20:00",是,"11:30~13:30, 17:30~20:00",是,"11:30~13:30, 17:30~20:00",是,"11:30~13:30, 17:30~20:00",是,"11:30~13:30, 17:30~20:00",否,,是,"11:30~13:30, 17:30~20:00",無,無
12/19/2020 16:58:28,五福餃子,118巷,"中餐, 晚餐",水餃,02-2765-6507,台北市信義區基隆路一段147巷34-2號,3.8,是,"11:00~14:30, 17:00~20:00",是,"11:00~14:30, 17:00~20:00",是,"11:00~14:30, 17:00~20:00",是,"11:00~14:30, 17:00~20:00",是,"11:00~14:30, 17:00~20:00",是,"11:00~14:30, 17:00~20:00",否,,無,有
12/19/2020 17:01:48,全家喜湯包,公館地區,"中餐, 晚餐",水餃,02-2362-6726,台大卓越聯合大樓2樓,3.9,是,"10:00~14:00, 16:00~19:00",是,"10:00~14:00, 16:00~19:00",是,"10:00~14:00, 16:00~19:00",是,"10:00~14:00, 16:00~19:00",是,"10:00~14:00, 16:00~19:00",是,"10:00~14:00, 16:00~19:00",是,"10:00~14:00, 16:00~19:00",無,無
12/19/2020 17:07:14,四面八方,118巷,"中餐, 晚餐",水餃,02-2378-8708,106台北市大安區復興南路二段340巷10號,4.2,是,11:00~21:00,是,11:00~21:00,是,11:00~21:00,是,11:00~21:00,是,11:00~21:00,是,11:00~21:00,是,11:00~21:00,無,無
12/19/2020 17:09:04,大李水餃,118巷,"中餐, 晚餐",水餃,02-2738-4180,台北市大安區和平東路二段118巷54弄35號,3.8,是,"11:00~14:00, 17:00~20:00",是,"11:00~14:00, 17:00~20:00",是,"11:00~14:00, 17:00~20:00",是,"11:00~14:00, 17:00~20:00",是,"11:00~14:00, 17:00~20:00",是,"11:00~14:00, 17:00~20:00",否,,無,無
12/19/2020 17:12:58,李記水餃,118巷,"中餐, 晚餐",水餃,02-2736-7202,台北市大安區和平東路2段118巷54弄1號,3.7,是,"11:00 ~ 14:00, 17:00 ~ 20:00 ",是,"11:00~14:00, 17:00~20:00 ",是,"11:00 ~ 14:00, 17:00 ~ 20:00 ",是,"11:00 ~ 14:00, 17:00 ~ 20:00 ",是,"11:00 ~ 14:00, 17:00 ~ 20:00 ",是,"11:00 ~ 14:00, 17:00 ~ 20:00 ",是,"11:00 ~ 14:00, 17:00 ~ 20:00 ",無,無
12/19/2020 17:16:35,八方雲集-台大店,公館地區,"中餐, 晚餐",水餃,02-2362-5189,台北市 大安區 羅斯福路3段333巷9號1樓,3.5,是,10:30~21:00,是,10:30~21:00,是,10:30~21:00,是,10:30~21:00,是,10:30~21:00,是,10:30~21:00,是,10:30~21:00,無,無
12/19/2020 19:56:42,大鼎饍食湯麵館,公館地區,"中餐, 晚餐",中式,0972-758-508,台北市中正區羅斯福路4段24巷12弄4號1樓,4.3,是,11:30~21:00,是,11:30~21:00,是,11:30~21:00,是,11:30~21:00,是,11:30~21:00,是,11:30~21:00,是,11:30~21:00,無,無
12/19/2020 19:58:59,麻辣巴蕾正宗重慶酸辣粉,公館地區,"中餐, 晚餐",小吃,02-2368-7779,北市中正區汀州路三段183號,3.9,是,11:30~09:30,是,11:30~09:30,是,11:30~09:30,是,11:30~09:30,是,11:30~10:00,是,11:30~10:00,是,11:30~10:00,無,無
12/19/2020 20:02:06,台南意麵※羊肉乾麵,公館地區,中餐,小吃,0976-833-313,台北市中正區羅斯福路三段286巷298號,3.6,是,11:30~13:00,是,11:30~13:00,是,11:30~13:00,是,11:30~13:00,是,11:30~13:00,是,11:30~13:00,是,11:30~22:00,無,無
12/19/2020 20:04:02,維綸麵食館,公館地區,"中餐, 晚餐",中式,02-2368-2634,台北市中正區汀州路三段279號,3.8,是,"11:00~14:00, 17:00~21:00",是,"11:00~14:00, 17:00~21:00",否,,是,"11:00~14:00, 17:00~21:00",是,"11:00~14:00, 17:00~21:00",是,"11:00~14:00, 17:00~21:00",是,"11:00~14:00, 17:00~21:00",無,有
12/19/2020 20:07:21,麥子磨麵台大店,公館地區,"中餐, 晚餐",中式,02-2364-8685,台北市大安區羅斯福路三段283巷22號.,3.8,是,"11:30~14:30, 17:00~20:30",是,"11:30~14:30, 17:00~20:30",是,"11:30~14:30, 17:00~20:30",是,"11:30~14:30, 17:00~20:30",是,"11:30~14:30, 17:00~20:30",是,"11:30~14:30, 17:00~20:30",是,"11:00~14:30, 17:00~20:30",無,無
12/19/2020 20:09:59,大聲公 台大牛肉麵店,溫州街,"中餐, 晚餐",中式,02-2363-9800,台北市新生南路三段54-6號1樓,3.8,否,,是,"11:30~15:00, 17:00~21:00",是,"11:30~15:00, 17:00~21:00",是,"11:30~15:00, 17:00~21:00",是,"11:30~15:00, 17:00~21:00",是,"11:30~15:00, 17:00~21:00",是,"11:30~15:00, 17:00~21:00",無,無
12/19/2020 20:12:31,彩椒廚房,溫州街,"中餐, 晚餐",素食,02-2368-3677,台北市大安區溫州街74巷5弄1號,3.7,是,"11:00~13:45, 17:00~20:20",是,"11:00~13:45, 17:00~20:20",是,"11:00~13:45, 17:00~20:20",是,"11:00~13:45, 17:00~20:20",是,"11:00~13:45, 17:00~20:20",是,"11:00~13:45, 17:00~20:20",是,"11:00~13:45, 17:00~20:20",有,有
12/19/2020 20:14:59,尚家香雲南料理,公館地區,"中餐, 晚餐",東南亞料理,02-2368-6231,台北市中正區汀洲路三段107號,4.3,是,"11:30~14:30, 16:30~20:30",是,"11:30~14:30, 16:30~20:30",是,"11:30~14:30, 16:30~20:30",是,"11:30~14:30, 16:30~20:30",是,"11:30~14:30, 16:30~20:30",是,"11:30~14:30, 16:30~20:30",是,"11:30~14:30, 16:30~20:30",無,有
12/19/2020 20:19:22,台大多多小吃,溫州街,"中餐, 晚餐",小吃,02-2391-5039,台北市大安區溫州街70號1樓,4.2,是,"11:00~14:00, 17:00~20:00",是,"11:00~14:00, 17:00~20:00",是,"11:00~14:00, 17:00~20:00",是,"11:00~14:00, 17:00~20:00",是,"11:00~14:00, 17:00~20:00",是,"11:00~14:00, 17:00~20:00",是,"11:00~14:00, 17:00~20:00",無,無
12/19/2020 20:23:04,雲香亭,溫州街,"中餐, 晚餐",東南亞料理,02-2362-8806,台北市大安區新生南路三段100號2樓,4.6,是,"11:30~15:00, 17:00~20:30",是,"11:30~15:00, 17:00~20:30",是,"11:30~15:00, 17:00~20:30",是,"11:30~15:00, 17:00~20:30",是,"11:30~15:00, 17:00~20:30",是,"11:30~15:00, 17:00~20:30",是,"11:30~15:00, 17:00~20:30",有,無
12/19/2020 20:26:18,海賊食堂,公館地區,"中餐, 晚餐",中式,02-2369-9999,台北市大安區羅斯福路三段283巷19弄2號,3.7,是,11:00~22:00,是,11:00~22:00,是,11:00~22:00,是,11:00~22:00,是,11:00~22:00,是,11:00~22:00,是,11:00~22:00,無,有
12/19/2020 20:28:36,蔣記家薌麵,偏鄉,"中餐, 晚餐",中式,02-2707-6012,台北市大安區四維路208巷18之1號,4.2,是,"11:30~14:30, 17:30~20:30",是,"11:30~14:30, 17:30~20:30",是,"11:30~14:30, 17:30~20:30",是,"11:30~14:30, 17:30~20:30",是,"11:30~14:30, 17:30~20:30",是,"11:30~14:30, 17:30~20:30",是,"11:30~14:30, 17:30~20:30",無,無
12/19/2020 20:31:09,香鄉麵食館,公館地區,"中餐, 晚餐",中式,02-2367-6490,台北市中正區汀洲路三段133號,3.8,是,11:00~22:00,是,11:00~22:00,是,11:00~22:00,是,11:00~22:00,是,11:00~22:00,是,11:00~22:00,是,11:00~22:00,無,無
12/19/2020 20:33:30,至香園沙茶牛肉乾麵,溫州街,"中餐, 晚餐",中式,02-2369-2446,台北市大安區新生南路三段86巷15號,3.9,是,"11:30~14:00, 17:30~20:30",是,"11:30~14:00, 17:30~20:30",是,"11:30~14:00, 17:30~20:30",是,11:30~14:00,是,"11:30~14:00, 17:30~20:30",是,"11:30~14:00, 17:30~20:30",是,"11:30~14:00, 17:30~20:30",無,有
12/19/2020 20:36:57,真善美牛肉麵,偏鄉,"中餐, 晚餐",中式,02-2377-8866,台北市大安區安居街47號,4.3,否,,是,"11:00~14:30, 17:20~21:00",是,"11:00~14:30, 17:20~21:00",是,"11:00~14:30, 17:20~21:00",是,"11:00~14:30, 17:20~21:00",是,"11:00~14:30, 17:20~21:00",是,"11:00~14:30, 17:20~21:00",無,有
12/19/2020 20:42:24,滬上雞莊麵食館-樂業店,偏鄉,"中餐, 晚餐",中式,02-8732-8606,台北市大安區樂業街106號,4.4,是,"11:30~14:30, 17:30~20:30",是,"11:30~14:30, 17:30~20:30",是,"11:30~14:30, 17:30~20:30",是,"11:30~14:30, 17:30~20:30",是,"11:30~14:30, 17:30~20:30",是,"11:30~14:30, 17:30~20:30",否,,無,有
12/19/2020 20:44:13,虹岩屋,公館地區,"中餐, 晚餐",中式,02-2365-8377,台北市中正區羅斯福路四段92號 水源市場大樓一F,4,否,,是,11:00~19:55,是,11:00~19:55,是,11:00~19:55,是,11:00~19:55,是,11:00~19:55,是,11:00~19:55,無,無
12/19/2020 20:46:20,好好吃麵,118巷,"中餐, 晚餐",小吃,0930-661-461,台北市大安區和平東路二段118巷5號,4.8,是,"11:30~14:00, 17:00~20:00",是,"11:30~14:00, 17:00~20:00",是,"11:30~14:00, 17:00~20:00",是,"11:30~14:00, 17:00~20:00",是,"11:30~14:00, 17:00~20:00",否,,否,,無,無
12/19/2020 20:49:17,五九麵館,118巷,"中餐, 晚餐",中式,02-2736-6759,台北市大安區和平東路二段118巷59號,4.8,是,"11:00~14:00, 17:00~22:00",是,"11:00~14:00, 17:00~22:00",是,"11:00~14:00, 17:00~22:00",是,"11:00~14:00, 17:00~22:00",是,"11:00~14:00, 17:00~22:00",是,"11:00~14:00, 17:00~22:00",否,,無,無
12/19/2020 20:55:09,溏老鴨平價小火鍋,溫州街,"中餐, 晚餐",火鍋,02-2362-6016,台北市大安區新生南路三段70巷3號,4.4,是,"11:40~15:00,17:00~22:00",是,"11:40~15:00,17:00~22:00",是,"11:40~15:00,17:00~22:00",是,"11:40~15:00,17:00~22:00",是,"11:40~15:00, 17:00~22:00",是,"11:40~15:00,17:00~22:00",是,"11:40~15:00,17:00~22:00",有,無
